PROVINCE,COUNTY,DISTRICT,LAT,LON,HOUSEHOLDS,ELECTRICITY,PRESSURE_LAMP,LANTERN,TIN_LAMP,GAS_LAMP,FUEL_WOOD,SOLAR,OTHER
EASTERN,Meru,MERU CENTRAL,0.001443681,37.58330732,0,0,0,0,0,0,0,0,0
WESTERN,Kakamega,KAKAMEGA SOUTH,0.190561619,34.7077479,0,0,0,0,0,0,0,0,0
CENTRAL,Nyandarua,NYANDARUA NORTH,-0.144560572,36.42343108,52503,3332,302,27102,16865,395,214,4173,120
CENTRAL,Nyandarua,NYANDARUA SOUTH,-0.533045224,36.55651343,61936,3741,387,38900,15077,384,103,3256,88
CENTRAL,Nyeri,NYERI NORTH,-0.266587082,36.9811441,81307,11774,775,33686,27884,514,651,5868,155
CENTRAL,Nyeri,NYERI SOUTH,-0.500808092,36.89927916,66028,11250,532,24090,27350,385,222,2132,67
CENTRAL,Kirinyaga,KIRINYAGA,-0.519266797,37.32018369,126665,12612,688,44095,62943,845,370,4933,179
CENTRAL,Murang'a,MURANGA NORTH,-0.675384535,36.98118146,87030,8627,314,36049,38737,524,251,2441,87
CENTRAL,Murang'a,MURANGA SOUTH,-0.845673319,37.05522802,84114,6027,466,33585,41533,389,149,1869,96
CENTRAL,Kiambu,KIAMBU EAST(KIAMBAA),-1.158558742,36.80546766,12468,6055,127,2413,3719,82,13,50,9
CENTRAL,Kiambu,KIKUYU,-1.236882983,36.63360077,251,163,0,39,47,0,0,2,0
CENTRAL,Kiambu,KIAMBU WEST,-1.139177531,36.62625892,13465,5622,34,4296,3274,68,15,136,20
CENTRAL,Kiambu,LARI,-0.92811243,36.67684469,30779,8661,141,12806,8388,97,33,529,124
CENTRAL,Kiambu,GITHUNGURI,-1.066938632,36.79433274,33301,13097,208,11244,8320,127,36,231,38
CENTRAL,Kiambu,THIKA EAST,-1.029757173,37.23100647,19226,1840,175,8392,8159,103,44,440,73
CENTRAL,Kiambu,THIKA WEST,-1.099288796,37.04502993,7283,1313,45,3303,2398,22,16,149,37
CENTRAL,Kiambu,RUIRU,-1.167110142,36.99460397,0,0,0,0,0,0,0,0,0
CENTRAL,Murang'a,GATANGA,-0.876497537,36.88791928,29664,5324,151,14997,8198,215,50,686,43
CENTRAL,Kiambu,GATUNDU,-0.959326055,36.85558237,53749,9008,294,23039,19755,286,123,1206,38
CENTRAL,Nyandarua,NYANDARUA NORTH,-0.144560572,36.42343108,24094,5839,143,11086,5540,102,66,1164,154
CENTRAL,Nyandarua,NYANDARUA SOUTH,-0.533045224,36.55651343,5346,2174,43,2263,743,30,8,60,25
CENTRAL,Nyeri,NYERI NORTH,-0.266587082,36.9811441,14301,8180,80,3268,2456,43,63,143,68
CENTRAL,Nyeri,NYERI SOUTH,-0.500808092,36.89927916,40067,21882,254,8473,8615,96,68,483,196
CENTRAL,Kirinyaga,KIRINYAGA,-0.519266797,37.32018369,27555,12741,340,7494,6173,160,43,416,188
CENTRAL,Murang'a,MURANGA NORTH,-0.675384535,36.98118146,10671,6947,123,1855,1555,25,8,77,81
CENTRAL,Murang'a,MURANGA SOUTH,-0.845673319,37.05522802,30464,6481,247,9228,13674,141,95,521,77
CENTRAL,Kiambu,KIAMBU EAST(KIAMBAA),-1.158558742,36.80546766,62874,45592,355,9056,7333,115,73,136,214
CENTRAL,Kiambu,KIKUYU,-1.236882983,36.63360077,76794,54111,420,13627,7736,253,125,269,253
CENTRAL,Kiambu,KIAMBU WEST,-1.139177531,36.62625892,23077,12101,166,6493,3993,59,26,121,118
CENTRAL,Kiambu,LARI,-0.92811243,36.67684469,0,0,0,0,0,0,0,0,0
CENTRAL,Kiambu,GITHUNGURI,-1.066938632,36.79433274,6049,3452,35,1664,801,6,3,18,70
CENTRAL,Kiambu,THIKA EAST,-1.029757173,37.23100647,1215,1013,6,99,95,1,0,0,1
CENTRAL,Kiambu,THIKA WEST,-1.099288796,37.04502993,64768,39149,667,15862,8170,108,55,235,522
CENTRAL,Kiambu,RUIRU,-1.167110142,36.99460397,75184,53250,650,12978,7415,97,173,283,338
CENTRAL,Murang'a,GATANGA,-0.876497537,36.88791928,547,441,5,70,25,2,2,0,2
CENTRAL,Kiambu,GATUNDU,-0.959326055,36.85558237,1967,1277,22,549,98,4,0,6,11
COAST,Mombasa,MOMBASA,-3.9685,39.6977,0,0,0,0,0,0,0,0,0
COAST,Mombasa,KILINDINI,-4.0383,39.6365,0,0,0,0,0,0,0,0,0
COAST,Kwale ,KWALE,-4.221293887,39.40753681,24506,1509,105,3458,18715,97,182,392,48
COAST,Kwale ,KINANGO,-3.96233059,39.10335046,32394,536,139,3228,27613,104,519,206,49
COAST,Kwale ,MSAMBWENI,-4.397198722,39.16173404,36059,1104,142,3794,29792,124,738,268,97
COAST,Kilifi,KILIFI,-3.494969907,39.60114414,55663,2081,210,6828,44485,321,1343,302,93
COAST,Kilifi,KALOLENI,-3.768179495,39.54477529,33158,1712,117,3324,27428,148,145,265,19
COAST,Kilifi,MALINDI,-2.934879654,39.74330931,38704,1161,112,7414,27759,139,1768,282,69
COAST,Tana River,TANA RIVER,-0.942366175,39.34922935,21389,51,30,3825,13842,465,2027,169,980
COAST,Tana River,TANA DELTA,-2.317407934,39.51654731,18146,336,32,2801,13790,64,667,191,265
COAST,Lamu,LAMU,-2.018858269,40.74388079,17391,759,74,6439,7927,138,539,1131,384
COAST,Taita Taveta,TAITA,-3.416968032,38.56492447,41936,3740,132,21218,14862,182,304,1177,321
COAST,Taita Taveta,TAVETA,-3.41452877,37.97519351,10816,385,41,3575,6362,33,86,285,49
COAST,Mombasa,MOMBASA,-3.9685,39.6977,140535,90073,1412,18531,28926,288,224,215,866
COAST,Mombasa,KILINDINI,-4.0383,39.6365,128165,68515,1336,24526,32310,224,306,170,778
COAST,Kwale ,KWALE,-4.221293887,39.40753681,4053,825,52,673,2420,24,15,30,14
COAST,Kwale ,KINANGO,-3.96233059,39.10335046,1610,299,8,320,935,10,4,31,3
COAST,Kwale ,MSAMBWENI,-4.397198722,39.16173404,23425,8615,267,4590,9643,60,64,71,115
COAST,Kilifi,KILIFI,-3.494969907,39.60114414,28079,11898,283,5998,9453,88,40,99,220
COAST,Kilifi,KALOLENI,-3.768179495,39.54477529,9534,3512,92,2054,3714,43,18,56,45
COAST,Kilifi,MALINDI,-2.934879654,39.74330931,34626,13059,619,8117,12166,172,157,117,219
COAST,Tana River,TANA RIVER,-0.942366175,39.34922935,7235,727,21,2618,3601,74,82,88,24
COAST,Tana River,TANA DELTA,-2.317407934,39.51654731,644,70,3,346,205,1,9,0,10
COAST,Lamu,LAMU,-2.018858269,40.74388079,4793,3008,61,772,825,20,21,42,44
COAST,Taita Taveta,TAITA,-3.416968032,38.56492447,12796,4607,129,5968,1850,33,10,136,63
COAST,Taita Taveta,TAVETA,-3.41452877,37.97519351,5542,1921,51,1834,1658,9,12,40,17
EASTERN,Marsabit,MARSABIT,2.350360288,37.94495682,6558,224,31,3036,2112,163,854,82,56
EASTERN,Marsabit,CHALBI,3.399917155,37.36288736,15586,14,8,1265,707,332,10803,197,2260
EASTERN,Marsabit,LAISAMIS,2.238105939,37.48344825,13248,7,3,1036,325,65,11362,174,276
EASTERN,Marsabit,MOYALE,3.117620629,38.80269655,9752,36,7,3445,2172,452,3555,35,50
EASTERN,Isiolo,ISIOLO,1.255057085,38.46170147,9745,429,5,1881,2021,234,4713,91,371
EASTERN,Isiolo,GARBATULLA,0.627639147,38.65180184,7076,10,9,3084,817,59,2427,65,605
EASTERN,Meru,MERU CENTRAL,0.001443681,37.58330732,37209,5386,242,13967,13360,227,332,3615,80
EASTERN,Meru,IMENTI NORTH,0.083380846,37.43552549,51419,6354,341,21745,17167,556,541,4570,145
EASTERN,Meru,IMENTI SOUTH,-0.122681965,37.60133849,42793,4969,357,14227,19331,255,378,3128,148
EASTERN,Meru,MERU SOUTH,-0.330686401,37.67297626,21157,1013,45,7254,10936,120,627,1046,116
EASTERN,Meru,MAARA,-0.228019729,37.62522793,19509,1029,67,7018,9833,140,254,1121,47
EASTERN,Meru,IGEMBE,0.303772382,38.05720532,91130,3342,487,21526,58499,908,3147,2729,492
EASTERN,Meru,TIGANIA,0.256927453,37.77333779,61666,2080,279,9902,44300,445,1432,3043,185
EASTERN,Tharaka Nithi,THARAKA,-0.136787024,38.01828449,25227,461,84,3415,17023,140,1593,2210,301
EASTERN,Embu,EMBU,-0.409100139,37.50475286,56173,5671,500,20909,26547,321,312,1826,87
EASTERN,Embu,MBEERE,-0.666137176,37.66541038,50579,2116,281,19476,24973,310,689,2322,412
EASTERN,Kitui,KITUI,-1.392710301,38.30094003,67254,1049,442,35834,24343,492,2653,2160,281
EASTERN,Kitui,MUTOMO,-2.179047638,38.53912323,32427,115,154,16693,12945,191,1742,490,97
EASTERN,Kitui,MWINGI,-0.907180566,38.36852014,45445,439,226,27619,12548,334,2063,1909,307
EASTERN,Kitui,KYUSO,-0.440861626,38.27042885,26498,313,170,15541,5618,218,3672,593,373
EASTERN,Machakos,MACHAKOS,-1.50054564,37.16409824,33559,1350,243,22219,8304,172,72,1130,69
EASTERN,Machakos,MWALA,-1.399783931,37.52391049,33760,858,220,19836,11140,245,79,1308,74
EASTERN,Machakos,YATTA,-1.060809489,37.60220541,46905,1625,108,28833,14527,190,185,1335,102
EASTERN,Machakos,KANGUNDO,-1.237582196,37.27203719,0,0,0,0,0,0,0,0,0
RIFT VALLEY,West Pokot,POKOT NORTH,2.039330692,35.10600361,0,0,0,0,0,0,0,0,0
EASTERN,Makueni,MAKUENI,-1.881125246,37.67253055,36541,725,130,25354,8180,173,210,1725,44
EASTERN,Makueni,MBOONI,-1.649117358,37.60666503,36765,623,198,22968,11023,140,155,1610,48
EASTERN,Makueni,KIBWEZI,-2.468788914,38.02538524,45843,1861,173,25955,15563,224,323,1590,154
EASTERN,Makueni,NZAUI,-1.928374635,37.41612392,40654,1105,140,29247,8041,229,360,1447,85
EASTERN,Marsabit,MARSABIT,2.350360288,37.94495682,3447,1630,3,837,655,232,4,33,53
EASTERN,Marsabit,CHALBI,3.399917155,37.36288736,0,0,0,0,0,0,0,0,0
EASTERN,Marsabit,LAISAMIS,2.238105939,37.48344825,1494,8,1,424,61,7,732,92,169
EASTERN,Marsabit,MOYALE,3.117620629,38.80269655,6856,2339,16,3041,921,414,45,65,15
EASTERN,Isiolo,ISIOLO,1.255057085,38.46170147,12718,5309,97,3742,2915,368,56,205,26
EASTERN,Isiolo,GARBATULLA,0.627639147,38.65180184,1787,52,43,1044,360,120,87,68,13
EASTERN,Meru,IMENTI NORTH,0.083380846,37.43552549,21881,13949,205,4015,3217,101,66,245,83
EASTERN,Meru,IMENTI SOUTH,-0.122681965,37.60133849,4404,2782,34,989,480,15,9,45,50
EASTERN,Meru,MERU SOUTH,-0.330686401,37.67297626,12102,2816,91,4778,3408,102,110,719,78
EASTERN,Meru,MAARA,-0.228019729,37.62522793,8642,1733,61,5176,967,48,46,572,39
EASTERN,Meru,IGEMBE,0.303772382,38.05720532,8160,4094,175,2030,1553,95,72,89,52
EASTERN,Meru,TIGANIA,0.256927453,37.77333779,954,457,4,319,147,6,1,16,4
EASTERN,Tharaka Nithi,THARAKA,-0.136787024,38.01828449,2166,365,9,386,1171,14,59,97,65
EASTERN,Embu,EMBU,-0.409100139,37.50475286,23965,11386,199,5910,5758,134,113,353,112
EASTERN,Embu,MBEERE,-0.666137176,37.66541038,966,438,12,217,257,13,0,14,15
EASTERN,Kitui,KITUI,-1.392710301,38.30094003,27526,4940,152,13551,7760,126,148,793,56
EASTERN,Kitui,MUTOMO,-2.179047638,38.53912323,469,13,12,275,109,1,4,13,42
EASTERN,Kitui,MWINGI,-0.907180566,38.36852014,5522,2832,31,1355,1114,10,28,40,112
EASTERN,Kitui,KYUSO,-0.440861626,38.27042885,350,149,5,169,13,0,1,4,9
EASTERN,Machakos,MACHAKOS,-1.50054564,37.16409824,84314,32653,852,34391,14309,256,96,1123,634
EASTERN,Machakos,MWALA,-1.399783931,37.52391049,1833,960,6,491,353,1,0,10,12
EASTERN,Machakos,YATTA,-1.060809489,37.60220541,13307,2625,77,6942,3183,72,25,311,72
EASTERN,Machakos,KANGUNDO,-1.237582196,37.27203719,50822,4996,340,30811,12183,419,108,1756,209
EASTERN,Makueni,MAKUENI,-1.881125246,37.67253055,15463,2055,83,10278,2270,60,63,581,73
EASTERN,Makueni,MBOONI,-1.649117358,37.60666503,537,244,24,201,67,0,1,0,0
EASTERN,Makueni,KIBWEZI,-2.468788914,38.02538524,7136,2905,45,2599,1507,8,8,44,20
EASTERN,Makueni,NZAUI,-1.928374635,37.41612392,3539,1394,23,1389,594,25,16,5,93
NAIROBI,Nairobi,NAIROBI WEST,-1.341174727,36.79920201,0,0,0,0,0,0,0,0,0
NAIROBI,Nairobi,NAIROBI EAST,-1.274861358,36.967484,0,0,0,0,0,0,0,0,0
NAIROBI,Nairobi,NAIROBI NORTH,-1.225618057,36.8911257,0,0,0,0,0,0,0,0,0
NAIROBI,Nairobi,WESTLANDS,-1.246976295,36.7882561,0,0,0,0,0,0,0,0,0
NAIROBI,Nairobi,NAIROBI WEST,-1.341174727,36.79920201,212295,141173,1761,28616,38924,278,160,205,1178
NAIROBI,Nairobi,NAIROBI EAST,-1.274861358,36.967484,369866,264200,4508,54288,42268,521,233,491,3357
NAIROBI,Nairobi,NAIROBI NORTH,-1.225618057,36.8911257,327428,247903,3617,38143,34715,348,187,237,2278
NAIROBI,Nairobi,WESTLANDS,-1.246976295,36.7882561,75427,59583,438,7126,7644,104,42,59,431
NORTH EASTERN,Garissa,GARISSA,-0.051825797,39.56855753,11189,36,11,2020,4218,1054,2223,15,1612
NORTH EASTERN,Garissa,LAGDERA,0.288065622,39.89717479,35534,195,244,7104,9125,9324,6203,61,3278
NORTH EASTERN,Garissa,FAFI,-0.687063677,40.43908059,15583,112,158,3877,6447,2461,788,52,1688
NORTH EASTERN,Garissa,IJARA,-1.427885086,40.73455516,10701,7,20,1761,7884,506,412,15,96
NORTH EASTERN,Wajir,WAJIR SOUTH,0.974263337,40.34314459,17030,14,8,4507,1970,2489,4232,31,3779
NORTH EASTERN,Wajir,WAJIR NORTH,2.931162031,39.5873795,17592,6,25,4378,3855,1519,7474,47,288
NORTH EASTERN,Wajir,WAJIR EAST,2.195672158,40.36685178,18414,8,13,6631,750,1080,8895,31,1006
NORTH EASTERN,Wajir,WAJIR WEST,1.920164855,39.5240015,20716,13,7,6311,5721,2121,5360,24,1159
NORTH EASTERN,Mandera,MANDERA CENTRAL,3.226535113,40.72748791,42017,42,31,11925,5211,3766,19884,67,1091
NORTH EASTERN,Mandera,MANDERA EAST,3.521529392,41.29294811,25892,129,33,8716,3263,4111,6862,51,2727
NORTH EASTERN,Mandera,MANDERA WEST,3.593363344,40.2334622,34273,26,59,11523,3523,1600,17247,64,231
NORTH EASTERN,Garissa,GARISSA,-0.051825797,39.56855753,20929,10920,110,3538,2964,2730,522,53,92
NORTH EASTERN,Garissa,LAGDERA,0.288065622,39.89717479,1849,80,3,883,151,580,87,28,37
NORTH EASTERN,Garissa,FAFI,-0.687063677,40.43908059,326,0,0,265,13,40,0,7,1
NORTH EASTERN,Garissa,IJARA,-1.427885086,40.73455516,2479,55,6,824,840,582,16,133,23
NORTH EASTERN,Wajir,WAJIR SOUTH,0.974263337,40.34314459,1474,275,14,522,20,554,6,5,78
NORTH EASTERN,Wajir,WAJIR NORTH,2.931162031,39.5873795,0,0,0,0,0,0,0,0,0
NORTH EASTERN,Wajir,WAJIR EAST,2.195672158,40.36685178,12689,2656,31,5171,2470,1999,312,13,37
NORTH EASTERN,Wajir,WAJIR WEST,1.920164855,39.5240015,659,67,0,403,162,5,17,4,1
NORTH EASTERN,Mandera,MANDERA CENTRAL,3.226535113,40.72748791,8209,248,44,3733,1489,1641,940,43,71
NORTH EASTERN,Mandera,MANDERA EAST,3.521529392,41.29294811,12580,2749,95,3082,3459,2707,225,51,212
NORTH EASTERN,Mandera,MANDERA WEST,3.593363344,40.2334622,2526,4,9,2342,44,20,82,17,8
NYANZA,Siaya,SIAYA,0.11399015,34.3043068,120471,3311,440,20133,94705,566,266,976,74
NYANZA,Siaya,BONDO,-0.09212788,34.19064437,26023,302,118,6700,18387,108,50,307,51
NYANZA,Siaya,RARIEDA,-0.218940047,34.33792037,30178,604,129,7485,21384,120,85,325,46
